Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,3.221400737762451,24.67792510986328
010,2.8694684505462646,21.189620971679688
011,3.270359516143799,23.043437957763672
012,3.2408595085144043,16.431676864624023
013,2.867887020111084,21.0
015,4.872990608215332,29.44486427307129
016,3.5811028480529785,19.87460708618164
019,3.6520943641662598,25.079872131347656
020,3.563796043395996,21.470911026000977
022,3.2740535736083984,25.495098114013672
024,2.8615643978118896,19.621416091918945
027,3.3554046154022217,19.313207626342773
028,2.849212646484375,16.67333221435547
Avg:,3.3446303330934963,21.7935361128587
StdDev (mm^2),0.26944567219999305,12.580252981598411
