SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
-16.77077,-27.46825,363.9665,44.12493,-28.03345,375.6765,-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981
-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745
-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936
0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166
8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112
12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667
16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256
19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907
23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332
24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114
23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165
17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111
1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159
-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996
-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996,-18.5136,22.56325,-15.3398,49.6834,24.32495,-20.783
